STNAME,bank_count,avg_hist_score,avg_curr_score,median_hist_score,deeply_stressed,emerging_risk,legacy_risk,elevated,pct_stressed,avg_cre_ratio,avg_leverage,avg_roa,high_cre_count,total_assets
Arizona,12,60.34798930623646,58.027540245316004,59.047533607515646,2,1,0,3,25.0,2.7791629147113013,0.11239528808163256,0.0026553179819823916,6,204219909
Massachusetts,91,59.81127966241296,60.53827145161578,60.58860419197657,11,4,8,31,25.3,2.0251079677036716,0.11364478311308873,0.00496952272695488,15,581880525
District Of Columbia,4,58.45133718192977,59.6708424453997,57.55514154996071,0,0,0,2,0.0,2.544411124651076,0.14046276330906343,-0.0007224862204125498,2,3235756
Rhode Island,6,57.39315690475089,55.12266681688973,60.29129537356903,1,0,1,2,33.3,1.967201259212361,0.1592382938829565,-0.0035056362081159823,1,239018050
U.S. Virgin Islands,1,56.369077621215695,63.138388399886516,56.369077621215695,0,0,0,1,0.0,1.5343809958885335,0.112606356163256,0.017759807401463,0,485985
New Hampshire,17,56.3163035845145,56.14667116027406,59.100501352671245,1,0,1,6,11.8,2.2198813570039637,0.13012807825686357,0.00726610906974299,5,16456523
Vermont,12,56.31428581258177,54.36456451678135,55.74412474820574,1,0,0,2,8.3,1.8758166278868185,0.10403699314410253,0.007166917220326741,1,9007060
Maine,22,56.029664126551616,56.862541278466786,56.50877244083889,0,0,1,9,4.5,2.187700411009084,0.11350814242630615,0.007406364232671955,4,47826525
Indiana,89,56.014170057406005,57.10135791571203,56.73102733855428,9,3,4,25,18.0,1.7710498718605592,0.1138392148072251,0.008995965535440787,11,213784342
Guam,2,55.363194694887675,47.21304995585773,55.363194694887675,0,0,0,1,0.0,1.7859971096158398,0.1039658830364441,0.00765858499273535,0,3192532
Hawaii,6,55.27863654014362,53.51780279852732,56.99466321085568,0,0,0,1,0.0,1.7239927846667709,0.09602917841015973,0.006739554890356966,0,66059069
Connecticut,28,54.994270162168206,55.427523172769504,55.7321846987853,3,0,2,6,17.9,2.1798964911090377,0.12784681706030349,0.007805826854753629,5,126466366
New Jersey,50,54.52411483127054,55.084561769750515,56.85315516469213,5,1,2,13,16.0,2.1649452453226044,0.12139302318895434,0.005964619742539951,15,204463605
Pennsylvania,112,54.51297829286564,54.32788528104539,53.998037250704215,5,1,12,23,16.1,1.986531361350586,0.12361741563816091,0.008596866582908622,24,338525763
Michigan,73,54.46056191158491,52.743441780649874,52.57980612718765,4,1,4,19,12.3,2.4718753050843967,0.11171656028677704,0.010101886543906528,25,71042319
Florida,82,53.47619569320515,52.00176992901173,53.21825549882999,4,1,2,21,8.5,2.712910888314535,0.11498643146014513,0.0068867192414645145,35,336381988
West Virginia,42,53.222205590270995,51.26357214430804,51.772253678382626,1,0,0,11,2.4,1.6401367850974653,0.11522142803293424,0.008424638266570509,5,51091679
Wisconsin,156,52.86522439958349,53.93960280216527,52.838271685297244,5,1,9,40,9.6,2.1307541392782157,0.11935414785204553,0.011275549011890706,39,165453610
Washington,30,52.662260474392774,51.256588936698655,53.658737835308365,2,0,0,10,6.7,2.307288998674641,0.11093901670556523,0.007148263680363327,8,90064737
Tennessee,111,52.33454107428351,50.380435421436545,52.155550375429485,2,0,9,26,9.9,2.413510559014038,0.11202846784666637,0.010217010181091652,37,243458074
Mississippi,57,52.14860287400909,51.75024106732008,52.33736078693582,1,0,2,10,5.3,1.8580863564791306,0.11913926229528116,0.010652367987701961,9,126365663
Arkansas,78,51.78439530385659,51.68852429930212,52.867605643993784,2,0,5,17,9.0,2.217770411726486,0.11778812261223137,0.01151857518656048,21,178442646
Maryland,27,51.78094504789868,48.87469530380939,51.42612552419139,0,0,0,9,0.0,2.5880660051334883,0.1275349203470459,0.009096367787461085,10,48545889
Virginia,56,51.62496990040705,50.057905290813174,52.494969772229275,1,0,3,9,7.1,2.304048795749003,0.1183968666469681,0.008744964804773724,19,981580307
Oregon,13,51.57796912413437,50.04839544125293,51.93257069782196,0,0,1,1,7.7,2.6057415896307363,0.12312500009546985,0.009529826178220024,4,75065210
Minnesota,228,51.33975952790389,49.894436776280585,51.7687391637578,9,1,8,44,7.9,1.734097293107829,0.10827914852240883,0.010709839312318548,37,114985554
Ohio,157,51.268727295236204,50.69738493743871,51.83141645120946,4,1,6,28,7.0,1.509225649484052,0.12392566919032742,0.008505701895582416,17,5191490730
Wyoming,24,51.066588709473876,49.699378383011044,51.13630139309454,0,0,2,6,8.3,2.1646808602648058,0.11221778041200882,0.00890774253640045,3,10663303
Colorado,65,51.01444696107577,50.91905972891816,49.7766963868524,3,0,3,8,9.2,2.114988756949039,0.12175584495663878,0.008493655561596505,17,80701877
Illinois,332,50.71818690889219,50.59051499846613,50.09293125099254,12,1,11,65,7.2,1.4943979595863652,0.11773250775787747,0.00980004265419286,40,763111533
Louisiana,106,50.710274619383085,49.38473792324278,50.67531279991286,2,0,1,16,2.8,2.125101103760501,0.12619149308074934,0.010621713727005516,23,80010010
North Carolina,38,50.572795287704956,49.99611132664118,49.82782729349126,1,0,2,6,7.9,2.1579970139624427,0.13602991519097987,0.008484840835948816,11,3465559800
Iowa,229,50.16165947706128,52.921850916887685,50.75630295183328,10,2,1,51,5.7,1.292343631299041,0.11674357013774223,0.011465187021163928,15,132398727
Kentucky,120,50.130227934728694,50.38993059055881,49.76084625771279,2,0,2,27,3.3,1.9072933065583504,0.1171095660110441,0.012008635904045993,17,83716741
South Carolina,43,49.75287429009502,48.03425644943001,50.81377582129476,1,0,1,5,4.7,2.0763812242235575,0.12135757407652319,0.009420499423922894,13,62731809
New York,117,49.25608598890798,49.138135558999934,50.624480474668005,4,0,3,27,6.0,1.6401507085012466,0.1305676266954411,0.007851611291735193,12,2016612697
Alabama,94,49.21952825736687,48.60558793742447,47.81103085019153,2,0,4,9,6.4,1.8422036158868058,0.1305743281704933,0.00870649897899313,12,226642984
Oklahoma,172,48.934310008248026,47.93765645324748,48.9968522069763,2,1,4,36,4.1,2.02064373721536,0.1160390848872057,0.012096394582363652,40,206244130
California,120,48.70992617562913,48.80849234070506,49.73114406783965,3,0,4,14,5.8,2.75658032750771,0.13564400654811154,0.0077182933251932605,57,568675983
Missouri,198,48.122875164679385,47.90621381538711,47.15538481403374,4,0,3,35,3.5,1.884781462177495,0.11214405681350327,0.01331452767617508,40,296747347
North Dakota,61,48.00927413317331,49.3372518916694,48.90678117660659,1,0,0,11,1.6,1.1604119715640688,0.10513368637842178,0.012862546086651374,3,64074241
Alaska,5,47.83749125458111,48.46639436990488,45.96339363394131,0,0,0,0,0.0,2.379902223325957,0.12200752028298831,0.013983066924834942,1,10406198
Montana,35,47.59604088047616,46.86049283379352,46.648050008714314,0,0,1,6,2.9,1.977773644417968,0.11968121864099915,0.014349461223218318,7,78912643
Kansas,188,47.3671095610549,48.85638968692062,46.52355681383536,1,1,4,29,3.2,1.2588242128007128,0.12157199128175832,0.011225461936754338,19,93286550
Nebraska,142,47.360198577505244,49.80944475520656,47.44770292143786,3,1,0,27,2.8,1.3671550478341827,0.11903181544522717,0.011794197846942724,13,114313485
Georgia,129,45.87723723297172,45.13558919358507,45.33043171788293,2,0,2,16,3.1,2.309723489359219,0.11998039299391383,0.014214503535414572,45,101329273
Puerto Rico,4,45.36638307561534,47.75412773275091,44.098132795130084,0,0,0,0,0.0,1.065951632519658,0.11485110444706512,0.0066256694631599,0,91689327
Texas,350,44.641857800255934,44.77036120880155,44.730035828582174,1,2,3,40,1.7,2.0559604129317455,0.12070411533518612,0.01345352527358191,84,786614969
South Dakota,56,43.99237602511058,46.10325140933634,43.41447105259343,0,1,0,8,1.8,1.0345873503970822,0.11579870380449449,0.012357228929293616,2,3719063753
New Mexico,29,43.880109839381916,45.309692845300425,44.28130012436284,0,0,0,2,0.0,2.0254198690471448,0.12313383170978846,0.018298571644562868,5,16243766
Idaho,10,42.21666123533951,41.89346912135499,41.372418504052426,0,0,0,1,0.0,2.0204974363233914,0.12096995982612539,0.01364722481575413,0,11994524
Nevada,15,41.32475179058007,42.23572536058607,41.679556488142005,0,0,0,1,0.0,2.0777515734759135,0.1518839371930037,0.014682329601662653,5,47270106
Federated States Of Micronesia,1,35.595680976183715,37.701973337060366,35.595680976183715,0,0,0,0,0.0,0.4288204205554931,0.1279522545831687,0.0146971436164126,0,270937
