CERT,NAME,CITY,STNAME,REPDTE,ASSET,SIZE_TIER,DEP,DEPUNINS,LNLSGR,NETINC,SC,EQTOT,INTAN,CHBAL,OTHBRF,RBCT1J,RBCT2,LNATRES,NAASSET,P9ASSET,ORE,LNRECONS,LNRENRES,NIM,NPA,TCE,TOTAL_CAP,CRE_LOANS,LEVERAGE_RATIO,TEXAS_RATIO,SECURITIES_RATIO,UNINSURED_DEP_RATIO,ROA,LTD_RATIO,CRE_RATIO,NIM_RATIO,CASH_RATIO,BORROW_RATIO,NEGATIVE_TCE,RATIOS_AVAILABLE,DATA_COMPLETENESS,COMPLETENESS_TIER,METHODOLOGY_NOTES
10004,Ergo Bank,Markesan,Wisconsin,20251231,261034,Community,219564,37285,205409,1603.0,36088,25894.0,4155.0,8382,10000,22694.0,2008.0,2008.0,3479,0,0.0,2577,67579,9802.0,3479.0,21739.0,24702.0,70156,0.08693886620133776,0.1465027161325641,0.1382501896304696,0.16981381282906122,0.00614096247998345,0.9355313257182416,2.8400939195206867,0.03755066389818951,0.032110759517917205,0.0383091857765655,False,10,100.0,High,None
10011,Woodford State Bank,Monroe,Wisconsin,20251231,509049,Community,390422,49604,382230,6774.0,96884,33177.0,1969.0,6797,71726,42568.0,2317.0,2190.0,576,0,0.0,25284,96671,17007.0,576.0,31208.0,44885.0,121955,0.0836225982174604,0.017246541709084375,0.19032352484731332,0.12705226652186608,0.013307166893560344,0.9790175758538198,2.7170546953325165,0.03340935744888999,0.013352349184459648,0.14090195639319594,False,10,100.0,High,None
10012,The Portage County Bank,Almond,Wisconsin,20251231,215689,Community,180130,50297,124322,3130.0,63837,26041.0,0.0,19209,8850,26041.0,0.0,1224.0,129,0,0.0,6329,34656,7526.0,129.0,26041.0,26041.0,40985,0.12073401981556779,0.004731340546488171,0.29596780549773055,0.2792261144728807,0.014511634807523795,0.6901793149392106,1.5738642909258478,0.03489283180876169,0.08905878371173309,0.041031299695394756,False,10,100.0,High,None
10015,Security Bank,New Auburn,Wisconsin,20251231,231630,Community,196238,21044,207245,3304.0,4218,27421.0,0.0,7590,7000,27543.0,0.0,1892.0,2597,0,0.0,7146,90451,8752.0,2597.0,27421.0,27543.0,97597,0.11890946768553297,0.0885955037014294,0.018210076414972153,0.10723713042326155,0.014264128135388335,1.0560900539141247,3.5434411647242494,0.037784397530544404,0.03276777619479342,0.030220610456331218,False,10,100.0,High,HIGH_CRE_CONCENTRATION
10044,National Exchange Bank and Trust,Fond Du Lac,Wisconsin,20251231,2920038,Mid-Size,2301942,960656,1713537,43709.0,1050810,554120.0,2203.0,91844,7942,567533.0,0.0,51352.0,33007,0,0.0,196315,698940,105424.0,33007.0,551917.0,567533.0,895255,0.19435808712078403,0.05471356890541367,0.35986175522373337,0.41732415499608594,0.014968640819057834,0.7443875649343032,1.5774501218431352,0.03610363974715398,0.031453015337471635,0.0027198276186816746,False,10,100.0,High,None
10055,First Southern Bank,Waycross,Georgia,20251231,327683,Community,288457,101348,231388,2943.0,65418,30849.0,0.0,13076,7000,34680.0,2220.0,2061.0,26,0,0.0,26821,87792,14036.0,26.0,30849.0,36900.0,114613,0.10583399199836427,0.0007900334244910362,0.19963806483705288,0.35134526116544235,0.008981241016470186,0.8021576872809466,3.1060433604336044,0.042834080498530595,0.03990441982037518,0.02136210911154988,False,10,100.0,High,HIGH_CRE_CONCENTRATION
10057,Bank of Hancock County,Sparta,Georgia,20251231,86116,Community,72350,9726,19485,484.0,47217,13639.0,0.0,17422,0,17201.0,0.0,696.0,53,135,0.0,395,462,2760.0,188.0,13639.0,17201.0,857,0.19974220818430954,0.013114754098360656,0.548295322588137,0.13442985487214928,0.005620326071810116,0.26931582584657915,0.04982268472763211,0.03204979330205769,0.20230851409726416,0.0,False,10,100.0,High,None
1005,Isabella Bank,Mount Pleasant,Michigan,20251231,2161209,Mid-Size,1850654,695537,1536788,21459.0,497790,178727.0,6629.0,25845,45000,182048.0,14220.0,13727.0,4578,0,343.0,109910,409193,63292.0,4921.0,172098.0,196268.0,519103,0.08423433365306178,0.02648190501816225,0.23032941284253397,0.37583308387197173,0.009929164648120567,0.8304026576550776,2.6448682413842297,0.02928546012902963,0.011958584292403002,0.020821678976905983,False,10,100.0,High,None
10072,Planters and Citizens Bank,Camilla,Georgia,20251231,145425,Community,123552,37086,78195,967.0,34703,11695.0,0.0,16938,9215,14903.0,0.0,1210.0,230,0,0.0,3989,28632,4922.0,230.0,11695.0,14903.0,32621,0.10247894103489771,0.017822549399457575,0.2386315970431494,0.30016511266511264,0.0066494756747464325,0.6328914141414141,2.188888143326847,0.0338456248925563,0.11647240845796802,0.06336599621798178,False,10,100.0,High,None
10074,Apex Banking Company of Georgia,Cleveland,Georgia,20251231,76580,Community,70659,18952,37517,313.0,18449,5816.0,0.0,2106,0,6896.0,0.0,528.0,46,2,0.0,6811,5541,2967.0,48.0,5816.0,6896.0,12352,0.09004962131104727,0.007566204287515763,0.24091146513449987,0.26821777834387694,0.004087229041525202,0.5309585473895753,1.791183294663573,0.038743797336119094,0.027500652911987465,0.0,False,10,100.0,High,None
10075,Peoples State Bank of Colfax,Colfax,Illinois,20251231,46921,Community,41204,8368,19955,681.0,14912,5308.0,0.0,11517,222,5271.0,0.0,112.0,0,0,0.0,9,997,1709.0,0.0,5308.0,5271.0,1006,0.112337759212293,0.0,0.31781078834636944,0.20308707892437627,0.014513757166300803,0.4842976410057276,0.19085562511857332,0.03642292363760363,0.24545512670232944,0.004731356961701584,False,10,100.0,High,None
